"Class","Status.of.existing.checking.account","Duration.in.month","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Gender","Marital.Status","Weights"
"1","4","6","1","2","783","5","1","1","2","2","3","26","3","2","1","4","2","1","2","2","4","1"
"2","1","12","4","8","6468","5","5","2","3","1","4","52","2","2","1","1","1","2","2","2","4","1"
"1","4","36","2","8","9566","3","1","2","3","2","2","31","3","2","2","2","1","1","2","1","2","1"
"1","3","18","4","2","1961","3","4","3","3","2","2","23","2","2","1","1","1","1","2","1","2","1"
"2","2","36","2","6","6229","3","3","4","1","4","4","23","2","3","2","4","1","2","2","1","2","0.872727272727273"
"1","1","9","4","1","1391","3","1","2","3","1","3","27","1","2","1","2","1","2","2","2","3","1"
"1","1","15","2","8","1537","5","4","4","2","4","3","50","2","2","2","2","1","2","2","2","4","1"
"2","1","36","5","1","1953","3","4","4","3","4","4","61","2","1","1","1","1","2","2","2","4","1"
"2","1","48","5","1","14421","3","1","2","3","2","2","25","2","2","1","2","1","2","2","2","4","1"
"1","4","24","4","8","3181","3","3","4","3","4","1","26","2","2","1","2","1","2","2","1","2","1"
"1","4","27","4","9","5190","5","4","4","3","4","1","48","2","2","4","2","2","2","2","2","4","1"
"1","4","12","4","8","2171","3","3","2","3","2","2","29","1","2","1","2","1","1","2","1","2","1"
"1","1","12","4","2","1007","4","1","4","3","1","3","22","2","2","1","2","1","1","2","2","3","1"
"2","4","36","4","5","1819","3","1","4","3","4","4","37","3","1","1","2","1","2","2","2","4","1"
"1","4","36","4","8","2394","5","1","4","3","4","2","25","2","2","1","2","1","1","2","1","2","1"
"1","4","36","4","3","8133","3","1","1","3","2","1","30","1","2","1","2","1","1","2","1","2","1"
"1","4","7","2","8","730","5","4","4","3","2","1","46","2","3","2","4","1","2","2","2","4","1"
"1","2","8","2","7","1164","3","4","3","3","4","4","51","1","1","2","1","2","2","2","2","4","1"
"1","1","42","2","1","5954","3","2","2","3","1","3","41","1","2","2","4","1","1","2","1","2","1.06666666666667"
"2","2","36","4","5","1977","5","4","4","3","4","4","40","2","2","1","1","1","2","2","2","4","1"
"1","2","12","2","3","1526","3","4","4","3","4","4","66","2","1","2","1","1","1","2","2","4","1"
"2","2","42","4","8","3965","3","3","4","3","3","2","34","2","2","1","2","1","1","2","2","4","1"
"1","1","11","3","8","4771","3","2","2","3","4","1","51","2","2","1","2","1","1","2","2","4","1"
"1","4","54","5","3","9436","5","1","2","3","2","1","39","2","2","1","4","2","1","2","2","4","1"
"1","1","30","4","6","3832","3","3","2","3","1","1","22","2","2","1","2","1","1","2","2","3","1"
"2","4","24","4","8","5943","5","3","1","3","1","2","44","2","2","2","2","1","2","2","1","2","1"
"1","4","15","4","8","1213","2","4","4","3","3","1","47","3","2","1","2","1","2","2","2","4","1"
"1","4","18","4","1","1568","1","1","3","3","4","1","24","2","3","1","4","1","1","2","1","2","1.06666666666667"
"1","2","24","4","7","1755","3","4","4","2","4","3","58","2","2","1","4","1","2","2","1","2","1.06666666666667"
"1","2","10","4","8","2315","3","4","3","3","4","3","52","2","2","1","4","1","1","2","2","4","1"
"1","4","12","2","1","1412","3","1","4","2","2","3","29","2","2","2","1","1","2","2","1","2","1"
"1","1","18","2","6","1295","3","3","4","3","1","1","27","2","2","2","2","1","1","2","1","2","1"
"2","1","36","4","5","12612","1","1","1","3","4","4","47","2","1","1","2","2","2","2","2","4","1"
"1","2","18","4","2","2249","1","2","4","3","3","2","30","2","2","1","1","2","2","2","2","4","1"
"2","2","12","5","9","1108","3","2","4","3","3","3","28","2","2","2","2","1","1","2","2","4","1"
"1","4","12","2","8","618","3","4","4","3","4","3","56","2","2","1","2","1","1","2","2","4","1"
"1","2","12","2","3","1409","3","4","4","3","3","3","54","2","2","1","2","1","1","2","2","4","1"
"2","4","12","2","8","797","5","4","4","3","3","1","33","1","2","1","4","2","1","2","1","2","0.872727272727273"
"1","3","24","2","6","3617","5","4","4","1","4","4","20","2","3","2","2","1","1","2","2","4","1"
"1","1","12","4","2","1318","4","4","4","3","4","3","54","2","2","1","2","1","2","2","2","4","1"
"2","1","54","5","1","15945","3","3","3","3","4","4","58","2","3","1","2","1","2","2","2","4","1"
"1","4","12","2","5","2012","5","2","4","3","2","2","61","2","2","1","2","1","1","2","1","2","1"
"1","1","18","4","1","2622","1","1","4","3","4","2","34","2","2","1","2","1","1","2","2","4","1"
"1","1","36","2","8","2337","3","4","4","3","4","3","36","2","2","1","2","1","1","2","2","4","1"
"1","1","20","3","3","7057","5","2","3","3","4","1","36","1","3","2","1","2","2","2","2","4","1"
"1","4","24","4","2","1469","1","4","4","3","4","3","41","2","3","1","4","1","1","2","2","3","1"
"1","1","36","4","8","2323","3","2","4","3","4","2","24","2","3","1","2","1","1","2","2","4","1"
"1","4","6","3","8","932","3","1","3","3","2","3","24","2","2","1","2","1","1","2","1","2","1"
"1","1","9","2","6","1919","3","2","4","3","3","2","35","2","3","1","2","1","2","2","2","4","1"
"1","4","12","4","3","2445","5","3","2","3","4","2","26","2","3","1","2","1","2","2","2","3","1"
"2","1","24","2","7","11938","3","1","2","1","3","2","39","2","2","2","1","2","2","2","2","4","1"
"2","4","18","1","2","6458","3","4","2","3","4","4","39","1","2","2","1","2","2","2","2","4","1"
"1","1","12","4","2","6078","3","2","2","3","2","2","32","2","2","1","2","1","1","2","2","4","1"
"1","2","24","4","6","7721","5","3","1","3","2","1","30","2","2","1","2","1","2","1","1","2","1"
"1","1","14","4","1","1410","2","4","1","3","2","3","35","2","2","1","2","1","2","2","2","3","1"
"1","1","6","3","1","1449","1","4","1","3","2","2","31","1","2","2","2","2","1","2","2","1","1"
"1","3","15","4","5","392","3","3","4","3","4","1","23","2","3","1","2","1","2","2","1","2","1"
"1","1","18","4","2","6260","3","2","3","3","3","3","28","2","3","1","4","1","1","2","2","4","1"
"2","4","36","2","2","7855","3","1","4","3","2","3","25","3","2","2","2","1","2","2","1","2","1"
"1","2","12","4","8","1680","2","4","3","3","1","3","35","2","2","1","2","1","1","2","2","3","1"
"1","4","48","2","8","3578","5","4","4","3","1","3","47","2","2","1","2","1","2","2","2","4","1"
"2","2","42","4","8","7174","5","2","4","3","3","2","30","2","2","1","1","1","2","2","1","2","1"
"1","2","10","2","6","2132","5","3","2","1","3","3","27","2","3","2","2","1","1","1","1","2","1"
"2","2","33","2","6","4281","2","1","1","3","4","2","23","2","2","2","2","1","1","2","1","2","1"
"1","1","12","2","2","2366","2","2","3","3","3","2","36","2","2","1","1","1","2","2","2","1","1"
"2","2","21","4","8","1835","3","1","3","3","2","3","25","2","2","2","2","1","2","2","1","2","1"
"1","4","24","2","3","3868","3","4","4","3","2","2","41","2","3","2","1","1","2","2","1","2","1"
"1","4","12","4","6","1768","3","1","3","3","2","3","24","2","3","1","4","1","1","2","2","4","1"
"1","3","10","2","2","781","3","4","4","3","4","4","63","2","1","2","2","1","2","2","2","4","1"
"2","1","18","4","6","1924","5","3","4","3","3","3","27","2","3","1","2","1","1","2","1","2","1"
"1","2","12","2","2","2121","3","1","4","3","2","1","30","2","2","2","2","1","1","2","2","4","1"
"1","2","12","4","8","701","3","1","4","3","2","3","40","2","2","1","4","1","1","2","2","3","1"
"2","1","12","4","9","639","3","1","4","3","2","2","30","2","2","1","2","1","1","2","2","4","1"
"1","1","12","2","3","1860","3","5","4","3","2","2","34","2","2","2","1","1","2","2","2","4","1"
"2","2","12","2","2","3499","3","1","3","1","2","3","29","2","2","2","2","1","1","2","1","2","1"
"1","1","48","4","2","8487","5","2","1","3","2","2","24","2","2","1","2","1","1","2","1","2","1"
"2","2","36","3","5","6887","3","1","4","3","3","1","29","3","2","1","2","1","2","2","2","4","1"
"1","4","15","4","6","2708","3","3","2","3","3","1","27","1","2","2","4","1","1","2","2","4","1"
"1","4","18","4","6","1984","3","1","4","3","4","4","47","1","1","2","2","1","1","2","2","4","1"
"1","4","60","4","8","10144","1","2","2","3","4","3","21","2","2","1","2","1","2","2","1","2","1"
"1","4","12","2","8","1240","5","4","4","3","2","3","38","2","2","2","2","1","2","2","1","2","1"
"1","4","27","3","3","8613","4","1","2","3","2","2","27","2","2","2","2","1","1","2","2","4","1"
"2","1","12","4","8","766","2","1","4","3","3","3","66","2","2","1","4","1","1","2","2","4","1"
"1","1","15","2","8","2728","5","2","4","2","2","3","35","1","2","3","2","1","2","2","2","4","1"
"1","3","12","4","8","1881","3","1","2","3","2","2","44","2","3","1","4","1","2","2","1","2","1.06666666666667"
"1","3","6","4","2","709","4","3","2","3","2","3","27","2","2","1","3","1","1","1","2","3","1"
"1","1","36","4","8","4795","3","3","4","3","1","4","30","2","2","1","1","1","2","2","1","2","1"
"1","2","27","4","8","3416","3","1","3","3","2","2","27","2","2","1","1","1","1","2","2","4","1"
"2","2","18","4","6","2462","3","1","2","3","2","2","22","2","2","1","2","1","1","2","2","4","1"
"1","4","21","2","6","2288","3","3","4","3","4","1","23","2","2","1","2","1","2","2","1","2","1"
"1","1","48","1","1","3566","1","2","4","3","2","2","30","2","2","1","2","1","1","2","2","4","1"
"1","2","6","2","2","860","3","4","1","3","4","4","39","2","2","2","2","1","2","2","1","2","1"
"1","4","12","2","2","682","1","2","4","3","3","2","51","2","2","2","2","1","2","2","1","2","1"
"1","2","36","2","6","5371","3","1","3","2","2","1","28","2","2","2","2","1","1","2","2","4","1"
"1","4","18","2","8","1582","4","4","4","3","4","2","46","2","2","2","2","1","1","2","2","4","1"
"1","4","6","4","8","1346","1","4","2","3","4","4","42","1","1","1","2","2","2","2","2","4","1"
"1","4","10","4","8","1924","3","1","1","3","4","1","38","2","2","1","2","1","2","1","2","4","1"
"1","3","36","4","8","5848","3","1","4","3","1","2","24","2","2","1","2","1","1","2","2","4","1"
"1","1","24","2","3","7758","4","4","2","3","4","4","29","2","3","1","2","1","1","2","1","2","1"
"1","1","24","3","1","6967","1","2","4","3","4","2","36","2","3","1","1","1","2","2","2","4","1"
"2","2","12","4","6","1282","3","1","2","3","4","2","20","2","3","1","2","1","1","2","1","2","1"
"1","2","9","2","9","1288","1","4","3","2","4","3","48","2","2","2","2","2","1","1","2","4","1"
"1","2","12","1","10","339","3","4","4","3","1","2","45","1","2","1","4","1","1","2","2","3","1"
"1","1","24","4","2","3512","1","2","2","3","3","2","38","1","2","2","2","1","2","2","2","4","1"
"1","4","6","2","8","1898","5","1","1","3","2","3","34","2","2","2","4","2","1","2","2","4","1"
"1","4","24","2","8","2872","1","4","3","3","4","3","36","2","2","1","2","2","2","2","2","4","1"
"1","4","18","2","2","1055","3","3","4","3","1","1","30","2","2","2","2","1","1","2","1","2","1"
"1","4","15","4","4","1262","2","2","4","3","3","1","36","2","2","2","2","1","2","2","2","4","1"
"1","1","10","4","2","7308","3","5","2","3","4","4","70","1","1","1","1","1","2","2","2","4","1"
"1","4","36","4","2","909","2","4","4","3","4","1","36","2","2","1","2","1","1","2","2","4","1"
"1","4","6","4","6","2978","2","1","1","3","2","2","32","2","2","1","2","1","2","2","2","4","1"
"2","2","18","4","6","1131","3","5","4","3","2","2","33","2","2","1","2","1","1","2","1","2","1"
"1","1","11","4","6","1577","4","3","4","3","1","3","20","2","2","1","2","1","1","2","1","2","1"
"1","4","24","4","6","3972","3","2","2","3","4","1","25","2","3","1","2","1","2","2","1","2","1"
"2","1","24","2","1","1935","3","4","4","3","4","3","31","2","2","2","2","1","2","2","2","1","1"
"2","2","15","5","2","950","3","4","4","3","3","2","33","2","3","2","2","2","1","2","2","4","1"
"1","4","12","4","6","763","3","1","4","3","1","3","26","2","2","1","2","1","2","2","1","2","1"
"2","1","24","3","6","2064","3","5","3","3","2","1","34","2","2","1","1","1","2","2","1","2","1"
"1","1","8","4","8","1414","3","1","4","2","2","3","33","2","2","1","2","1","1","1","2","4","1"
"2","2","21","3","5","3414","3","3","2","3","1","1","26","2","2","2","2","1","1","2","2","4","1"
"2","4","30","1","3","7485","5","5","4","3","1","3","53","1","2","1","1","1","2","2","1","2","1"
"1","2","12","4","6","2577","3","1","2","3","1","2","42","2","2","1","2","1","1","2","2","1","1"
"1","2","6","2","8","338","2","4","4","3","4","2","52","2","2","2","2","1","1","2","2","4","1"
"1","4","12","4","8","1963","3","2","4","3","2","2","31","2","3","2","1","2","2","2","2","4","1"
"1","2","21","2","2","571","3","4","4","3","4","3","65","2","2","2","2","1","1","2","2","4","1"
"2","4","36","3","1","9572","3","3","1","3","1","2","28","2","2","2","2","1","1","2","2","1","1"
"2","1","36","3","1","4455","3","1","2","3","2","3","30","3","2","2","1","1","2","2","2","1","1"
"2","2","21","1","2","1647","5","1","4","3","2","1","40","2","2","2","4","2","1","2","2","4","1"
"1","4","24","2","6","3777","4","1","4","3","4","3","50","2","2","1","2","1","2","2","2","4","1"
"2","1","18","2","2","884","3","4","4","3","4","2","36","1","2","1","2","2","2","2","2","4","1"
"1","4","15","2","8","1360","3","1","4","3","2","1","31","2","2","2","2","1","1","2","2","4","1"
"2","1","9","1","3","5129","3","4","2","3","4","4","74","1","1","1","1","2","2","2","1","2","1"
"1","1","16","2","2","1175","3","5","2","3","3","2","68","2","1","3","3","1","2","2","2","4","1"
"2","2","12","4","8","674","1","2","4","3","1","1","20","2","2","1","2","1","1","2","2","3","1"
"1","1","18","5","6","3244","3","1","1","3","4","2","33","1","2","2","2","1","2","2","1","2","1"
"2","4","24","4","1","4591","4","1","2","3","3","1","54","2","2","3","1","1","2","2","2","4","1"
"2","1","48","5","1","3844","1","2","4","3","4","4","34","2","1","1","4","2","1","2","2","4","1"
"2","1","27","4","1","3915","3","1","4","3","2","2","36","2","2","1","2","2","2","2","2","4","1"
"1","4","6","4","8","2108","3","2","2","3","2","3","29","2","3","1","2","1","1","2","2","3","1"
"2","1","45","4","8","3031","1","1","4","2","4","1","21","2","3","1","2","1","1","2","2","4","1"
"2","1","9","2","5","1501","3","4","2","3","3","2","34","2","2","2","1","1","2","2","1","2","1"
"1","4","6","2","8","1382","3","1","1","3","1","2","28","2","2","2","2","1","2","2","1","2","1"
"2","1","12","4","6","951","1","3","4","3","4","2","27","1","3","4","2","1","1","2","1","2","1"
"1","1","24","4","3","2760","5","4","4","3","4","4","36","1","1","1","2","1","2","2","2","4","1"
"2","1","18","3","6","4297","3","4","4","3","3","4","40","2","2","1","1","1","2","2","2","1","1"
"1","4","9","2","5","936","2","4","4","3","2","2","52","2","2","2","2","1","2","2","2","4","1"
"1","2","12","4","2","1168","3","1","4","3","3","3","27","2","2","1","4","1","1","2","2","3","1"
"1","4","27","3","1","5117","3","2","3","3","4","2","26","2","2","2","2","1","1","2","2","4","1"
"2","2","12","4","10","902","3","2","4","3","4","1","21","2","3","1","2","1","1","2","2","3","1"
"1","4","12","2","2","1495","3","4","4","3","1","3","38","2","2","2","4","2","1","2","2","4","1"
"1","2","30","2","3","10623","3","4","3","3","4","4","38","2","1","3","1","2","2","2","2","4","1"
"1","4","12","2","6","1935","3","4","4","3","4","3","43","2","2","3","2","1","2","2","2","4","1"
"1","1","12","2","4","1424","3","2","4","3","3","1","26","2","2","1","2","1","1","2","2","4","1"
"1","2","24","4","1","6568","3","1","2","3","2","2","21","3","2","1","4","1","1","2","2","3","1"
"1","4","12","4","3","1413","4","2","3","3","2","1","55","2","2","1","2","1","1","1","2","4","1"
"1","4","9","2","8","3074","5","1","1","3","2","3","33","2","2","2","2","2","1","2","2","4","1"
"1","4","36","4","8","3835","5","4","2","3","4","3","45","2","2","1","4","1","2","2","1","2","1.06666666666667"
"2","2","27","5","1","5293","3","5","2","3","4","1","50","3","2","2","2","1","2","2","2","4","1"
"2","3","30","3","1","1908","3","4","4","3","4","3","66","2","2","1","1","1","2","2","2","4","1"
"1","4","36","2","8","3342","5","4","4","3","2","2","51","2","2","1","2","1","2","2","2","4","1"
"1","1","6","2","10","932","5","2","1","3","3","1","39","2","2","2","4","1","1","2","1","2","1.06666666666667"
"1","2","18","5","1","3104","3","2","3","3","1","1","31","1","2","1","2","1","2","2","2","4","1"
"1","3","36","4","8","3913","3","1","2","3","2","3","23","2","2","1","2","1","2","2","2","4","1"
"1","2","24","4","6","3021","3","1","2","3","2","3","24","2","3","1","4","1","1","2","2","1","1"
"1","4","10","4","2","1364","3","1","2","3","4","2","64","2","2","1","2","1","2","2","1","2","1"
"1","1","12","4","8","625","3","3","4","2","1","3","26","1","2","1","4","1","1","2","2","3","1"
"1","2","12","4","5","1200","5","1","4","3","4","1","23","1","3","1","2","1","2","2","1","2","1"
"1","4","12","4","8","707","3","1","4","3","2","3","30","1","2","2","2","1","1","2","2","4","1"
"1","4","24","3","1","2978","5","1","4","3","4","3","32","2","2","2","2","2","2","2","2","4","1"
"1","4","15","4","3","4657","3","1","3","3","2","2","30","2","2","1","2","1","2","2","2","4","1"
"1","4","36","5","9","2613","3","1","4","3","2","2","27","2","2","2","2","1","1","2","2","4","1"
"2","1","48","4","8","10961","4","2","1","1","2","4","27","1","2","2","2","1","2","2","2","4","1"
"2","2","12","4","6","7865","3","4","4","3","4","4","53","2","1","1","1","1","2","2","2","4","1"
"2","4","9","4","8","1478","3","2","4","3","2","2","22","2","2","1","2","1","1","2","2","4","1"
"1","2","24","4","6","3149","3","3","4","3","1","4","22","1","1","1","2","1","1","2","2","4","1"
"2","3","36","4","8","4210","3","1","4","3","2","2","26","2","2","1","2","1","1","2","2","4","1"
"1","4","9","4","2","2507","2","4","2","3","4","4","51","2","1","1","4","1","1","2","2","4","1"
"1","4","12","4","8","2141","1","2","3","3","1","4","35","2","2","1","2","1","1","2","2","4","1"
"1","1","18","4","8","866","3","1","4","2","2","3","25","2","2","1","4","1","1","2","2","3","1"
"1","4","4","2","8","1544","3","2","2","3","1","3","42","2","2","3","4","2","1","2","2","4","1"
"2","2","24","4","8","1823","3","5","4","3","2","2","30","3","2","1","1","2","1","2","2","4","1"
"2","1","6","4","2","14555","5","5","1","3","2","1","23","2","2","1","3","1","2","2","2","4","1"
"2","1","21","4","1","2767","1","4","4","3","2","2","61","1","3","2","4","1","1","2","2","1","1"
"1","4","12","2","8","1291","3","1","4","3","2","1","35","2","2","2","2","1","1","2","1","2","1"
"1","2","30","4","8","2522","3","4","1","2","3","1","39","2","2","1","2","2","1","2","2","4","1"
"2","2","24","4","2","915","5","4","4","3","2","2","29","1","2","1","2","1","1","2","1","2","1"
"1","4","6","4","8","1595","3","2","3","3","2","1","51","2","2","1","2","2","1","2","2","4","1"
"2","2","48","5","3","4605","3","4","3","3","4","4","24","2","1","2","2","2","1","2","2","4","1"
"1","4","12","2","1","1185","3","1","3","3","2","3","27","2","2","2","2","1","1","2","1","2","1"
"1","4","12","1","10","3447","2","1","4","3","3","3","35","2","2","1","4","2","1","2","1","2","1.06666666666667"
"1","4","24","4","1","1258","3","2","4","3","1","3","25","2","2","1","2","1","2","2","2","4","1"
"1","4","12","2","8","717","3","4","4","3","4","3","52","2","2","3","2","1","1","2","2","4","1"
"1","4","6","5","2","1204","1","1","4","3","1","4","35","1","3","1","2","1","1","1","2","4","1"
"1","3","24","4","6","1925","3","1","2","3","2","3","26","2","2","1","2","1","1","2","2","4","1"
"2","4","18","4","8","433","3","5","3","1","4","3","22","2","3","1","2","1","1","2","1","2","1"
"1","2","6","2","2","666","4","2","3","3","4","3","39","2","2","2","4","1","2","2","1","2","1.06666666666667"
"1","3","12","4","6","2251","3","1","1","3","2","2","46","2","2","1","4","1","1","2","1","2","1.06666666666667"
"2","1","30","4","2","2150","3","1","4","2","2","4","24","1","2","1","2","1","1","2","1","2","1"
"1","4","24","3","6","4151","1","1","2","3","3","1","35","2","2","2","2","1","1","2","2","4","1"
"1","1","9","4","6","2030","5","2","2","3","1","2","24","2","2","1","2","1","2","2","2","4","1"
"1","1","60","3","8","7418","5","1","1","3","1","3","27","2","2","1","4","1","1","2","2","4","1"
"1","4","24","2","8","2684","3","1","4","3","2","3","35","2","2","2","4","1","1","2","2","4","1"
"2","2","12","1","8","2149","3","1","4","3","1","4","29","2","1","1","2","1","1","2","2","1","1"
"1","4","15","4","3","3812","1","3","1","3","4","2","23","2","2","1","2","1","2","2","1","2","1"
"1","4","11","2","8","1154","1","5","4","3","4","3","57","2","2","3","4","1","1","2","1","2","1.06666666666667"
"1","2","12","4","6","1657","3","1","2","3","2","3","27","2","2","1","2","1","1","2","2","4","1"
"1","2","24","4","8","1603","3","4","4","3","4","2","55","2","2","1","2","1","1","2","1","2","1"
"1","2","18","2","2","5302","3","4","2","3","4","4","36","2","1","3","1","1","2","2","2","4","1"
"1","4","12","2","5","2748","3","4","2","3","4","4","57","1","1","3","4","1","1","2","1","2","1.06666666666667"
"1","4","10","2","2","1231","3","4","3","3","4","3","32","2","2","2","4","2","1","1","2","4","1"
"2","1","15","4","8","802","3","4","4","3","3","2","37","2","2","1","2","2","1","2","2","4","1"
"1","4","36","2","1","6304","5","4","4","3","4","3","36","2","2","2","2","1","1","2","2","4","1"
"1","4","24","4","8","1533","3","3","4","3","3","2","38","3","2","1","2","1","2","2","1","2","1"
"2","2","14","4","2","8978","3","4","1","3","4","1","45","2","2","1","1","1","2","1","2","1","1"
"1","4","24","4","8","999","5","4","4","3","2","2","25","2","2","2","2","1","1","2","2","4","1"
"1","4","18","4","2","2662","5","2","4","3","3","1","32","2","2","1","2","1","1","1","2","4","1"
"1","4","12","2","6","1402","2","2","3","3","4","2","37","2","3","1","2","1","2","2","1","2","1"
"1","1","48","1","2","12169","5","5","4","1","4","4","36","2","1","1","1","1","2","2","2","4","1"
"2","1","48","4","8","3060","3","2","4","3","4","3","28","2","2","2","2","1","1","2","2","4","1"
"2","2","30","4","9","11998","3","3","1","3","1","4","34","2","2","1","4","1","2","2","2","1","1"
"1","4","9","4","8","2697","3","1","1","3","2","3","32","2","2","1","2","2","1","2","2","4","1"
